domain,edge,x,y,n_genomes
Bacteria,21676,-0.4202666536490831,-0.009854186391153048,0
Bacteria,21676,-0.4192677248160698,-0.030589869015515456,0
Bacteria,21676,-0.41724633611650885,-0.05125095273435746,0
Bacteria,21676,-0.8977118140688524,-0.11026720133755695,0
Bacteria,21980,-0.7901954333908364,-0.2007073906310671,711
Bacteria,21980,-0.7912268635254275,-0.1966019583864262,711
Bacteria,21980,-0.7922369641857591,-0.19249122625043416,711
Bacteria,21980,-0.7932257081420733,-0.18837530503802796,711
Bacteria,21980,-0.7941930687403344,-0.18425430570402998,711
Bacteria,21980,-0.7951390199029486,-0.18012833934015487,711
Bacteria,21980,-0.7960635361294659,-0.1759975171720162,711
Bacteria,21980,-0.8022827825054774,-0.17737249777492256,711
Bacteria,23217,-0.7901954333908364,-0.2007073906310671,382
Bacteria,23217,-0.7891427015867325,-0.20480741231229121,382
Bacteria,23217,-0.7880686964921015,-0.20890191290388802,382
