domain,node,x,y,n_genomes
Bacteria,58932,0.9559142444189107,-0.2936459727580527,0
Bacteria,58932,0.9561867562619341,-0.2927573861566618,0
Bacteria,58932,0.9564584421041249,-0.29186854665713874,0
Bacteria,59281,0.9155434138338818,-0.22453666343248901,0
Bacteria,59281,0.9703850451020045,-0.24156337520903434,0
Bacteria,59281,0.9708880870013294,-0.23953355196902762,0
Bacteria,59281,0.9713868829803106,-0.2375026811928579,0
Bacteria,59681,0.8434038274404534,-0.13091092458106335,117
Bacteria,59681,0.9834810776486635,-0.1810109662617805,117
Bacteria,59681,0.9844480058559072,-0.17567619009509441,117
Bacteria,59681,0.9853859964237982,-0.17033624996423505,117
Bacteria,59681,0.9862950217803035,-0.16499130283560637,117
Bacteria,59681,0.9871750552048164,-0.15964150582278938,117
Bacteria,59681,0.9880260708289422,-0.15428701618192642,117
Bacteria,59681,0.9888480436372578,-0.14892799130710122,117
Bacteria,60328,0.8524004237358799,-0.04337284785170639,3
Bacteria,60328,0.9966443736052449,-0.08185348227784202,3
Bacteria,60328,0.9970208292381534,-0.07713278204022622,3
Bacteria,60328,0.9973749249545418,-0.0724103519665661,3
Bacteria,60328,0.9977066528132016,-0.06768629796552386,3
Bacteria,60328,0.9980160053745614,-0.06296072598218196,3
Bacteria,60328,0.9983029757008552,-0.05823374199566359,3
Bacteria,60328,0.9985675573562772,-0.05350545201676124,3
Bacteria,60328,0.998809744407126,-0.04877596208555561,3
Bacteria,60541,0.9226618707499917,-0.04087605918665353,1
Bacteria,60541,0.998809744407126,-0.04877596208555561,1
Bacteria,60541,0.9989311504333317,-0.046222902266523154,1
Bacteria,60541,0.9990460305883125,-0.04366954048002508,1
Bacteria,33035,-0.37088688594482827,0.8666483564134542,0
Bacteria,33035,-0.39152685432955775,0.9201666818238972,0
Bacteria,33035,-0.39295177546002036,0.9195590803003457,0
Bacteria,33035,-0.3943757536713249,0.9189492722213639,0
Bacteria,34943,-0.5779690019376651,0.6790551795101974,11
Bacteria,34943,-0.6426909147961706,0.7661255693673599,11
Bacteria,34943,-0.6459486988749417,0.7633808213609835,11
Bacteria,34943,-0.6491947610526889,0.7606222204364937,11
Bacteria,36031,-0.7525849768191798,0.638983899678451,0
Bacteria,36031,-0.7620951951418271,0.6474649902054476,0
Bacteria,36031,-0.7622957507136212,0.6472288532226887,0
Bacteria,36031,-0.7624962331178202,0.6469926541168259,0
Bacteria,39244,-0.8513391980686764,0.1599901203367383,0
Bacteria,39244,-0.9787461147485292,0.20507570032712033,0
Bacteria,39244,-0.9798899747082014,0.1995385613518358,0
Bacteria,39244,-0.9810025092280316,0.19399504346324398,0
Bacteria,39244,-0.982083682742156,0.1884453238783184,0
Bacteria,39244,-0.9831334606872701,0.18288958001229033,0
Bacteria,42041,-0.8270954747663496,-0.21066742020754367,209
Bacteria,42041,-0.9744065759431774,-0.2247928485488205,209
Bacteria,42041,-0.9732589683876922,-0.22971064505791886,209
Bacteria,42041,-0.9720865410490513,-0.2346225835491781,209
Bacteria,42041,-0.970889323826175,-0.23952853875969105,209
Bacteria,42041,-0.9696673472501683,-0.24442838557913324,209
Bacteria,42041,-0.9684206424835428,-0.24932199905295602,209
Bacteria,42203,-0.8531373692286881,-0.23664702753859387,102
Bacteria,42203,-0.9684206424835428,-0.24932199905295602,102
Bacteria,42203,-0.9671236404016916,-0.2543066341568374,102
Bacteria,42203,-0.9658009816887396,-0.2592845228104963,102
Bacteria,42203,-0.9644527014332374,-0.264255532956513,102
